Site,window_start,Nutrient,Concentration
Q1,1993-01-05,Ca,4.975555555555555
Q1,1993-01-05,Mg,3.181111111111111
Q1,1993-01-05,K,1.1344444444444444
Q1,1993-01-05,NO3-N,20
Q1,1993-03-09,NH4-N,NA
Q1,1993-03-09,Ca,5.795555555555556
Q1,1993-03-09,Mg,3.671111111111111
Q1,1993-03-09,K,1.1744444444444444
Q1,1993-03-09,NO3-N,137.11111111111111
Q1,1993-05-11,NH4-N,NA
Q1,1993-05-11,Ca,5.611111111111111
Q1,1993-05-11,Mg,3.2222222222222223
Q1,1993-05-11,K,1.1577777777777778
Q1,1993-05-11,NO3-N,28.333333333333332
Q1,1993-07-13,NH4-N,NA
Q1,1993-07-13,Ca,5.467777777777778
Q1,1993-07-13,Mg,3.013333333333333
Q1,1993-07-13,K,1.0033333333333334
Q1,1993-07-13,NO3-N,44.6
Q1,1993-09-14,NH4-N,NA
Q1,1993-09-14,Ca,5.921111111111111
Q1,1993-09-14,Mg,3.3266666666666667
Q1,1993-09-14,K,1.1211111111111112
Q1,1993-09-14,NO3-N,28.333333333333332
Q1,1993-11-16,NH4-N,NA
Q1,1993-11-16,Ca,5.688888888888889
Q1,1993-11-16,Mg,3.1688888888888886
Q1,1993-11-16,K,1.18
Q1,1993-11-16,NO3-N,22.166666666666668
Q1,1994-01-18,NH4-N,NA
Q1,1994-01-18,Ca,5.302222222222222
Q1,1994-01-18,Mg,2.951111111111111
Q1,1994-01-18,K,1.0055555555555555
Q1,1994-01-18,NO3-N,13.5
Q1,1994-03-22,NH4-N,NA
Q1,1994-03-22,Ca,6.14
Q1,1994-03-22,Mg,3.347777777777778
Q1,1994-03-22,K,1.051111111111111
Q1,1994-03-22,NO3-N,65.66666666666667
Q1,1994-05-24,NH4-N,NA
Q1,1994-05-24,Ca,6.785
Q1,1994-05-24,Mg,3.85
Q1,1994-05-24,K,1.21
Q1,1994-05-24,NO3-N,51.22222222222222
Q1,1994-07-26,NH4-N,NA
Q1,1994-07-26,Ca,6.015555555555555
Q1,1994-07-26,Mg,3.398888888888889
Q1,1994-07-26,K,1.2377777777777779
Q1,1994-07-26,NO3-N,NA
Q1,1994-09-27,NH4-N,NA
Q1,1994-09-27,Ca,5.921111111111111
Q1,1994-09-27,Mg,3.183333333333333
Q1,1994-09-27,K,1.12
Q1,1994-09-27,NO3-N,NA
Q1,1994-11-29,NH4-N,NA
Q1,1994-11-29,Ca,5.74
Q1,1994-11-29,Mg,3.1375
Q1,1994-11-29,K,1.09375
Q1,1994-11-29,NO3-N,109
Q2,1988-01-05,NH4-N,18.5
Q2,1988-01-05,Ca,4.415555555555556
Q2,1988-01-05,Mg,2.11
Q2,1988-01-05,K,0.8672222222222222
Q2,1988-01-05,NO3-N,239.1875
Q2,1988-03-08,NH4-N,27.142857142857142
Q2,1988-03-08,Ca,4.243333333333333
Q2,1988-03-08,Mg,2.316666666666667
Q2,1988-03-08,K,0.7833333333333333
Q2,1988-03-08,NO3-N,192.33333333333334
Q2,1988-05-10,NH4-N,74.42857142857143
Q2,1988-05-10,Ca,3.587
Q2,1988-05-10,Mg,2.1189999999999998
Q2,1988-05-10,K,0.7969999999999999
Q2,1988-05-10,NO3-N,239.33333333333334
Q2,1988-07-12,NH4-N,14
Q2,1988-07-12,Ca,3.446
Q2,1988-07-12,Mg,2.0286666666666666
Q2,1988-07-12,K,0.7846666666666666
Q2,1988-07-12,NO3-N,178.33333333333334
Q2,1988-09-13,NH4-N,47
Q2,1988-09-13,Ca,4.55
Q2,1988-09-13,Mg,2.37
Q2,1988-09-13,K,0.77
Q2,1988-09-13,NO3-N,205
Q2,1988-11-15,NH4-N,NA
Q2,1988-11-15,Ca,4.161111111111111
Q2,1988-11-15,Mg,2.3633333333333333
Q2,1988-11-15,K,0.8722222222222222
Q2,1988-11-15,NO3-N,220.66666666666666
Q2,1989-01-17,NH4-N,NA
Q2,1989-01-17,Ca,4.592222222222222
Q2,1989-01-17,Mg,2.52
Q2,1989-01-17,K,0.9011111111111111
Q2,1989-01-17,NO3-N,232.8
Q2,1989-03-21,NH4-N,NA
Q2,1989-03-21,Ca,4.467777777777778
Q2,1989-03-21,Mg,2.8766666666666665
Q2,1989-03-21,K,0.8766666666666667
Q2,1989-03-21,NO3-N,190.55555555555554
Q2,1989-05-23,NH4-N,NA
Q2,1989-05-23,Ca,4.615555555555556
Q2,1989-05-23,Mg,2.5166666666666666
Q2,1989-05-23,K,0.9522222222222222
Q2,1989-05-23,NO3-N,166.66666666666666
Q2,1989-07-25,NH4-N,NA
Q2,1989-07-25,Ca,4.905555555555556
Q2,1989-07-25,Mg,2.541111111111111
Q2,1989-07-25,K,1.01
Q2,1989-07-25,NO3-N,143.25
Q2,1989-09-26,NH4-N,NA
Q2,1989-09-26,Ca,5.465454545454546
Q2,1989-09-26,Mg,2.97
Q2,1989-09-26,K,1.4533333333333334
Q2,1989-09-26,NO3-N,419.1111111111111
Q2,1989-11-28,NH4-N,NA
Q2,1989-11-28,Ca,6.613333333333333
Q2,1989-11-28,Mg,3.1233333333333335
Q2,1989-11-28,K,1.2066666666666666
Q2,1989-11-28,NO3-N,239.25
Q2,1990-01-30,NH4-N,NA
Q2,1990-01-30,Ca,6.53
Q2,1990-01-30,Mg,3.0522222222222224
Q2,1990-01-30,K,1.3388888888888888
Q2,1990-01-30,NO3-N,188
Q2,1990-04-03,NH4-N,NA
Q2,1990-04-03,Ca,5.1971428571428575
Q2,1990-04-03,Mg,2.4907142857142857
Q2,1990-04-03,K,1.3635714285714287
Q2,1990-04-03,NO3-N,466.7692307692308
Q2,1990-06-05,NH4-N,NA
Q2,1990-06-05,Ca,6.776666666666666
Q2,1990-06-05,Mg,3.2088888888888887
Q2,1990-06-05,K,1.1311111111111112
Q2,1990-06-05,NO3-N,232.77777777777777
Q2,1990-08-07,NH4-N,NA
Q2,1990-08-07,Ca,7.187777777777778
Q2,1990-08-07,Mg,3.2244444444444444
Q2,1990-08-07,K,0.9255555555555556
Q2,1990-08-07,NO3-N,121.11111111111113
Q2,1990-10-09,NH4-N,NA
Q2,1990-10-09,Ca,5.773
Q2,1990-10-09,Mg,2.712
Q2,1990-10-09,K,0.901
Q2,1990-10-09,NO3-N,164.7
Q2,1990-12-11,NH4-N,NA
Q2,1990-12-11,Ca,6.782
Q2,1990-12-11,Mg,3.08
Q2,1990-12-11,K,0.998
Q2,1990-12-11,NO3-N,182.11111111111111
Q2,1991-02-12,NH4-N,NA
Q2,1991-02-12,Ca,6.742
Q2,1991-02-12,Mg,2.938
Q2,1991-02-12,K,0.843
Q2,1991-02-12,NO3-N,138.11111111111111
Q2,1991-04-16,NH4-N,NA
Q2,1991-04-16,Ca,3.796666666666667
Q2,1991-04-16,Mg,2.8377777777777777
Q2,1991-04-16,K,1.01
Q2,1991-04-16,NO3-N,35.75
Q2,1991-06-18,NH4-N,NA
Q2,1991-06-18,Ca,5.316666666666666
Q2,1991-06-18,Mg,3.201111111111111
Q2,1991-06-18,K,0.9955555555555555
Q2,1991-06-18,NO3-N,81
Q2,1991-08-20,NH4-N,NA
Q2,1991-08-20,Ca,6.027
Q2,1991-08-20,Mg,2.9859999999999998
Q2,1991-08-20,K,1.42
Q2,1991-08-20,NO3-N,88.2
Q2,1991-10-22,NH4-N,NA
Q2,1991-10-22,Ca,4.760769230769231
Q2,1991-10-22,Mg,2.7115384615384617
Q2,1991-10-22,K,1.273076923076923
Q2,1991-10-22,NO3-N,226.69230769230768
Q2,1991-12-24,NH4-N,NA
Q2,1991-12-24,Ca,5.828888888888889
Q2,1991-12-24,Mg,2.924444444444444
Q2,1991-12-24,K,1.3033333333333332
Q2,1991-12-24,NO3-N,283.8888888888889
Q2,1992-02-25,NH4-N,NA
Q2,1992-02-25,Ca,5.852222222222222
Q2,1992-02-25,Mg,3.121111111111111
Q2,1992-02-25,K,1.1222222222222222
Q2,1992-02-25,NO3-N,88.125
Q2,1992-04-28,NH4-N,NA
Q2,1992-04-28,Ca,5.24
Q2,1992-04-28,Mg,2.482222222222222
Q2,1992-04-28,K,1.2466666666666666
Q2,1992-04-28,NO3-N,124.875
Q2,1992-06-30,NH4-N,NA
Q2,1992-06-30,Ca,6.88
Q2,1992-06-30,Mg,3.26
Q2,1992-06-30,K,1.23
Q2,1992-06-30,NO3-N,108.22222222222223
Q2,1992-09-01,NH4-N,NA
Q2,1992-09-01,Ca,6.641111111111111
Q2,1992-09-01,Mg,3.1655555555555557
Q2,1992-09-01,K,1.2677777777777777
Q2,1992-09-01,NO3-N,49.125
Q2,1992-11-03,NH4-N,NA
Q2,1992-11-03,Ca,5.694444444444445
Q2,1992-11-03,Mg,2.6044444444444443
Q2,1992-11-03,K,1.2144444444444444
Q2,1992-11-03,NO3-N,66.28571428571429
Q2,1993-01-05,NH4-N,NA
Q2,1993-01-05,Ca,6.49
Q2,1993-01-05,Mg,3.181111111111111
Q2,1993-01-05,K,1.27
Q2,1993-01-05,NO3-N,135
Q2,1993-03-09,NH4-N,NA
Q2,1993-03-09,Ca,6.347777777777778
Q2,1993-03-09,Mg,3.243333333333333
Q2,1993-03-09,K,1.3044444444444445
Q2,1993-03-09,NO3-N,144
Q2,1993-05-11,NH4-N,NA
Q2,1993-05-11,Ca,6.171111111111111
Q2,1993-05-11,Mg,2.9611111111111112
Q2,1993-05-11,K,1.468888888888889
Q2,1993-05-11,NO3-N,72.75
Q2,1993-07-13,NH4-N,NA
Q2,1993-07-13,Ca,7.205555555555556
Q2,1993-07-13,Mg,3.1777777777777776
Q2,1993-07-13,K,1.4122222222222223
Q2,1993-07-13,NO3-N,23.5
Q2,1993-09-14,NH4-N,NA
Q2,1993-09-14,Ca,6.414444444444444
Q2,1993-09-14,Mg,2.8533333333333335
Q2,1993-09-14,K,1.33
Q2,1993-09-14,NO3-N,55.33333333333333
Q2,1993-11-16,NH4-N,NA
Q2,1993-11-16,Ca,6.371111111111111
Q2,1993-11-16,Mg,2.6155555555555554
Q2,1993-11-16,K,1.4
Q2,1993-11-16,NO3-N,56.66666666666667
Q2,1994-01-18,NH4-N,NA
Q2,1994-01-18,Ca,5.916666666666667
Q2,1994-01-18,Mg,2.828888888888889
Q2,1994-01-18,K,1.3533333333333333
Q2,1994-01-18,NO3-N,12.333333333333334
Q2,1994-03-22,NH4-N,NA
Q2,1994-03-22,Ca,6.77
Q2,1994-03-22,Mg,3.0566666666666666
Q2,1994-03-22,K,1.2733333333333334
Q2,1994-03-22,NO3-N,30.166666666666664
Q2,1994-05-24,NH4-N,NA
Q2,1994-05-24,Ca,6.51
Q2,1994-05-24,Mg,3.11875
Q2,1994-05-24,K,1.46125
Q2,1994-05-24,NO3-N,87.625
Q2,1994-07-26,NH4-N,NA
Q2,1994-07-26,Ca,3.913333333333333
Q2,1994-07-26,Mg,1.9333333333333331
Q2,1994-07-26,K,0.9500000000000001
Q2,1994-07-26,NO3-N,NA
Q2,1994-09-27,NH4-N,NA
Q2,1994-09-27,Ca,4.5125
Q2,1994-09-27,Mg,2.125
Q2,1994-09-27,K,1.2125
Q2,1994-09-27,NO3-N,NA
Q2,1994-11-29,NH4-N,NA
Q2,1994-11-29,Ca,5.89375
Q2,1994-11-29,Mg,2.7875
Q2,1994-11-29,K,1.1724999999999999
Q2,1994-11-29,NO3-N,NA
Q3,1988-01-05,NH4-N,33.1764705882353
Q3,1988-01-05,Ca,3.3953333333333333
Q3,1988-01-05,Mg,2.556
Q3,1988-01-05,K,0.728
Q3,1988-01-05,NO3-N,165.4375
Q3,1988-03-08,NH4-N,26.333333333333332
Q3,1988-03-08,Ca,3.4766666666666666
Q3,1988-03-08,Mg,2.6144444444444446
Q3,1988-03-08,K,0.5555555555555556
Q3,1988-03-08,NO3-N,205.22222222222223
Q3,1988-05-10,NH4-N,59.57142857142857
Q3,1988-05-10,Ca,2.613
Q3,1988-05-10,Mg,2.339
Q3,1988-05-10,K,0.688
Q3,1988-05-10,NO3-N,196
Q3,1988-07-12,NH4-N,28.6
Q3,1988-07-12,Ca,2.710714285714286
Q3,1988-07-12,Mg,2.2592857142857143
Q3,1988-07-12,K,0.6328571428571429
Q3,1988-07-12,NO3-N,134.66666666666666
Q3,1988-09-13,NH4-N,41.75
Q3,1988-09-13,Ca,3.33125
Q3,1988-09-13,Mg,2.48875
Q3,1988-09-13,K,0.6275
Q3,1988-09-13,NO3-N,168.25
Q3,1988-11-15,NH4-N,NA
Q3,1988-11-15,Ca,3.815
Q3,1988-11-15,Mg,2.66
Q3,1988-11-15,K,0.7366666666666667
Q3,1988-11-15,NO3-N,191.33333333333334
Q3,1989-01-17,NH4-N,NA
Q3,1989-01-17,Ca,3.801111111111111
Q3,1989-01-17,Mg,2.8033333333333332
Q3,1989-01-17,K,0.7688888888888888
Q3,1989-01-17,NO3-N,163.66666666666666
Q3,1989-03-21,NH4-N,NA
Q3,1989-03-21,Ca,3.9033333333333333
Q3,1989-03-21,Mg,2.7355555555555555
Q3,1989-03-21,K,0.7344444444444445
Q3,1989-03-21,NO3-N,164.66666666666666
Q3,1989-05-23,NH4-N,NA
Q3,1989-05-23,Ca,3.7533333333333334
Q3,1989-05-23,Mg,2.8066666666666666
Q3,1989-05-23,K,0.7511111111111111
Q3,1989-05-23,NO3-N,92.22222222222223
Q3,1989-07-25,NH4-N,NA
Q3,1989-07-25,Ca,3.6166666666666667
Q3,1989-07-25,Mg,2.4344444444444444
Q3,1989-07-25,K,0.81125
Q3,1989-07-25,NO3-N,155.875
Q3,1989-09-26,NH4-N,NA
Q3,1989-09-26,Ca,3.6163636363636367
Q3,1989-09-26,Mg,3.325454545454545
Q3,1989-09-26,K,1.4708333333333332
Q3,1989-09-26,NO3-N,444.625
Q3,1989-11-28,NH4-N,NA
Q3,1989-11-28,Ca,5.1433333333333335
Q3,1989-11-28,Mg,3.5666666666666664
Q3,1989-11-28,K,1.268888888888889
Q3,1989-11-28,NO3-N,218.625
Q3,1990-01-30,NH4-N,NA
Q3,1990-01-30,Ca,4.81
Q3,1990-01-30,Mg,3.3755555555555556
Q3,1990-01-30,K,1.4522222222222223
Q3,1990-01-30,NO3-N,381.77777777777777
Q3,1990-04-03,NH4-N,NA
Q3,1990-04-03,Ca,3.6885714285714286
Q3,1990-04-03,Mg,2.6742857142857144
Q3,1990-04-03,K,1.3478571428571429
Q3,1990-04-03,NO3-N,352.3076923076923
Q3,1990-06-05,NH4-N,NA
Q3,1990-06-05,Ca,4.614444444444445
Q3,1990-06-05,Mg,3.3677777777777775
Q3,1990-06-05,K,1.1855555555555555
Q3,1990-06-05,NO3-N,224.25
Q3,1990-08-07,NH4-N,NA
Q3,1990-08-07,Ca,5.593333333333334
Q3,1990-08-07,Mg,3.4522222222222223
Q3,1990-08-07,K,0.9944444444444445
Q3,1990-08-07,NO3-N,151.77777777777777
Q3,1990-10-09,NH4-N,NA
Q3,1990-10-09,Ca,5.102
Q3,1990-10-09,Mg,2.934
Q3,1990-10-09,K,0.9339999999999999
Q3,1990-10-09,NO3-N,155.11111111111111
Q3,1990-12-11,NH4-N,NA
Q3,1990-12-11,Ca,4.6770000000000005
Q3,1990-12-11,Mg,3.08
Q3,1990-12-11,K,0.9460000000000001
Q3,1990-12-11,NO3-N,170.625
Q3,1991-02-12,NH4-N,NA
Q3,1991-02-12,Ca,4.788
Q3,1991-02-12,Mg,3.772
Q3,1991-02-12,K,0.79
Q3,1991-02-12,NO3-N,146.3
Q3,1991-04-16,NH4-N,NA
Q3,1991-04-16,Ca,4.216666666666667
Q3,1991-04-16,Mg,3.243333333333333
Q3,1991-04-16,K,0.8922222222222222
Q3,1991-04-16,NO3-N,56.142857142857146
Q3,1991-06-18,NH4-N,NA
Q3,1991-06-18,Ca,4.447777777777778
Q3,1991-06-18,Mg,3.535555555555556
Q3,1991-06-18,K,0.8588888888888889
Q3,1991-06-18,NO3-N,118.625
Q3,1991-08-20,NH4-N,NA
Q3,1991-08-20,Ca,4.675
Q3,1991-08-20,Mg,3.249
Q3,1991-08-20,K,1.05
Q3,1991-08-20,NO3-N,114.8
Q3,1991-10-22,NH4-N,NA
Q3,1991-10-22,Ca,3.8207692307692307
Q3,1991-10-22,Mg,2.813846153846154
Q3,1991-10-22,K,0.8776923076923077
Q3,1991-10-22,NO3-N,167
Q3,1991-12-24,NH4-N,NA
Q3,1991-12-24,Ca,4.888888888888888
Q3,1991-12-24,Mg,3.13
Q3,1991-12-24,K,1.0333333333333334
Q3,1991-12-24,NO3-N,179.55555555555554
Q3,1992-02-25,NH4-N,NA
Q3,1992-02-25,Ca,6.21
Q3,1992-02-25,Mg,3.3511111111111114
Q3,1992-02-25,K,1.12
Q3,1992-02-25,NO3-N,127.375
Q3,1992-04-28,NH4-N,NA
Q3,1992-04-28,Ca,4.054444444444444
Q3,1992-04-28,Mg,2.73
Q3,1992-04-28,K,0.9355555555555556
Q3,1992-04-28,NO3-N,115
Q3,1992-06-30,NH4-N,NA
Q3,1992-06-30,Ca,4.682222222222222
Q3,1992-06-30,Mg,3.263333333333333
Q3,1992-06-30,K,1.1411111111111112
Q3,1992-06-30,NO3-N,44.888888888888886
Q3,1992-09-01,NH4-N,NA
Q3,1992-09-01,Ca,4.835555555555556
Q3,1992-09-01,Mg,3.2177777777777776
Q3,1992-09-01,K,0.8933333333333333
Q3,1992-09-01,NO3-N,56.33333333333333
Q3,1992-11-03,NH4-N,NA
Q3,1992-11-03,Ca,4.528888888888889
Q3,1992-11-03,Mg,3.2466666666666666
Q3,1992-11-03,K,1.0977777777777777
Q3,1992-11-03,NO3-N,40.28571428571429
Q3,1993-01-05,NH4-N,NA
Q3,1993-01-05,Ca,4.0377777777777775
Q3,1993-01-05,Mg,3.0211111111111113
Q3,1993-01-05,K,0.8122222222222223
Q3,1993-01-05,NO3-N,207
Q3,1993-03-09,NH4-N,NA
Q3,1993-03-09,Ca,4.424444444444444
Q3,1993-03-09,Mg,3.571111111111111
Q3,1993-03-09,K,0.8122222222222222
Q3,1993-03-09,NO3-N,129.125
Q3,1993-05-11,NH4-N,NA
Q3,1993-05-11,Ca,4.31625
Q3,1993-05-11,Mg,3.0637499999999998
Q3,1993-05-11,K,0.855
Q3,1993-05-11,NO3-N,59
Q3,1993-07-13,NH4-N,NA
Q3,1993-07-13,Ca,4.687777777777778
Q3,1993-07-13,Mg,2.95
Q3,1993-07-13,K,0.8355555555555556
Q3,1993-07-13,NO3-N,102.83333333333334
Q3,1993-09-14,NH4-N,NA
Q3,1993-09-14,Ca,4.526666666666666
Q3,1993-09-14,Mg,3.0775
Q3,1993-09-14,K,0.8044444444444444
Q3,1993-09-14,NO3-N,43.66666666666667
Q3,1993-11-16,NH4-N,NA
Q3,1993-11-16,Ca,4.225555555555555
Q3,1993-11-16,Mg,2.7577777777777777
Q3,1993-11-16,K,0.8833333333333333
Q3,1993-11-16,NO3-N,32.333333333333336
Q3,1994-01-18,NH4-N,NA
Q3,1994-01-18,Ca,4.366666666666666
Q3,1994-01-18,Mg,2.973333333333333
Q3,1994-01-18,K,0.8377777777777777
Q3,1994-01-18,NO3-N,11
Q3,1994-03-22,NH4-N,NA
Q3,1994-03-22,Ca,5.066666666666666
Q3,1994-03-22,Mg,3.3666666666666667
Q3,1994-03-22,K,0.8622222222222222
Q3,1994-03-22,NO3-N,49
Q3,1994-05-24,NH4-N,NA
Q3,1994-05-24,Ca,5.294
Q3,1994-05-24,Mg,3.657
Q3,1994-05-24,K,0.907
Q3,1994-05-24,NO3-N,52.111111111111114
Q3,1994-07-26,NH4-N,NA
Q3,1994-07-26,Ca,4.98
Q3,1994-07-26,Mg,3.522222222222222
Q3,1994-07-26,K,0.8433333333333334
Q3,1994-07-26,NO3-N,NA
Q3,1994-09-27,NH4-N,NA
Q3,1994-09-27,Ca,4.561111111111111
Q3,1994-09-27,Mg,3.1544444444444446
Q3,1994-09-27,K,0.8644444444444445
Q3,1994-09-27,NO3-N,NA
Q3,1994-11-29,NH4-N,NA
Q3,1994-11-29,Ca,4.626666666666667
Q3,1994-11-29,Mg,3.3833333333333333
Q3,1994-11-29,K,0.8733333333333334
Q3,1994-11-29,NO3-N,NA
MPR,1988-01-05,NH4-N,NA
MPR,1988-01-05,Ca,NA
MPR,1988-01-05,Mg,NA
MPR,1988-01-05,K,NA
MPR,1988-01-05,NO3-N,NA
MPR,1988-03-08,NH4-N,NA
MPR,1988-03-08,Ca,NA
MPR,1988-03-08,Mg,NA
MPR,1988-03-08,K,NA
MPR,1988-03-08,NO3-N,NA
MPR,1988-05-10,NH4-N,NA
MPR,1988-05-10,Ca,NA
MPR,1988-05-10,Mg,NA
MPR,1988-05-10,K,NA
MPR,1988-05-10,NO3-N,NA
MPR,1988-07-12,NH4-N,NA
MPR,1988-07-12,Ca,NA
MPR,1988-07-12,Mg,NA
MPR,1988-07-12,K,NA
MPR,1988-07-12,NO3-N,NA
MPR,1988-09-13,NH4-N,NA
MPR,1988-09-13,Ca,NA
MPR,1988-09-13,Mg,NA
MPR,1988-09-13,K,NA
MPR,1988-09-13,NO3-N,NA
MPR,1988-11-15,NH4-N,NA
MPR,1988-11-15,Ca,NA
MPR,1988-11-15,Mg,NA
MPR,1988-11-15,K,NA
MPR,1988-11-15,NO3-N,NA
MPR,1989-01-17,NH4-N,NA
MPR,1989-01-17,Ca,NA
MPR,1989-01-17,Mg,NA
MPR,1989-01-17,K,NA
MPR,1989-01-17,NO3-N,NA
MPR,1989-03-21,NH4-N,NA
MPR,1989-03-21,Ca,6.15
